person_name,gender
Todor Chapkanov,Male
William Cottrell,Male
Adam Randall,Male
Andrei Tarkovsky,Male
Tom Holland,Male
Jeymes Samuel,Male
Mathieu Kassovitz,Male
Sidney J. Furie,Male
Rod Lurie,Male
James Marsh,Male
Jamie Babbit,Female
Jocelyn Moorhouse,Female
Stuart Rosenberg,Male
Sara Zandieh,Female
Mike Figgis,Male
Donovan Marsh,Male
Stuart Gillard,Male
Derrick Borte,Male
Steven Lisberger,Male
Don Bluth,Male
Tyler Spindel,Male
Barbra Streisand,Female
Frank Oz,Male
Otto Bathurst,Male
Steve Beck,Male
Daniel Stern,Male
Robin Bain,Male
Rob Zombie,Male
Sydney Pollack,Male
George Sherman,Male
Michael Engler,Male
Terry Jones,Male
Christian Gudegast,Male
John Badham,Male
Matthew Warchus,Male
Ava DuVernay,Female
Stanley Donen,Male
P.J. Hogan,Male
Dennis Gansel,Male
Henry Hathaway,Male
Simon J. Smith,Male
Travis Knight,Male
Patrice Chéreau,Male
Clive Barker,Male
James Nunn,Male
Ross Katz,Male
Anthony Maras,Male
John Schlesinger,Male
Luis Llosa,Male
Gary Shore,Male
Tommy O'Haver,Male
Zach Braff,Male
Yann Demange,Male
David Prior,Male
Clarence Brown,Male
Gregg Araki,Male
Ken Loach,Male
Michael Winterbottom,Male
Jake Johnson,Male
Christian Alvart,Male
Stephen Frears,Male
Peter Hutchings,Male
Tim Hill,Male
Coralie Fargeat,Female
Katsuhiro Ôtomo,Male
Albert Hughes,Male
John Dahl,Male
Jennifer Kaytin Robinson,Female
Susan Johnson,Female
Sylvester Stallone,Male
Joe Dante,Male
Steven Knight,Male
Mathew Cullen,Male
Noel Black,Male
Warren Beatty,Male
Rob Letterman,Male
Michel Franco,Male
Joel Zwick,Male
Jaco Van Dormael,Male
Jim Abrahams,Male
Gina Prince-Bythewood,Female
Sergio G. Sánchez,Male
Darius Marder,Male
Ronny Yu,Male
Scott Kalvert,Male
James Bird,Male
Tomasz Baginski,Male
Terence Young,Male
Paul Brickman,Male
Tommy Wiseau,Male
Matthew Robbins,Male
Wayne Wang,Male
Steve Antin,Male
Nicholaus Goossen,Male
Tim Story,Male
Dominic Sena,Male
Alfonso Gomez-Rejon,Male
Richard C. Sarafian,Male
Tim Johnson,Male
Sebastián Lelio,Male
John Waters,Male
Michael Ritchie,Male
J Blakeson,Male
Michael Sucsy,Male
Cal Brunker,Male
Jim Fall,Male
Evan Goldberg,Male
James Bridges,Male
Daniel Espinosa,Male
Vincent Ward,Male
Michael Rianda,Male
John Butler,Male
Roland Joffé,Male
Sean Price Williams,Male
Alex Hardcastle,Male
Noah Baumbach,Male
Rachel Talalay,Female
Kimberly Peirce,Female
Howard Hawks,Male
Dennis Hopper,Male
Raoul Walsh,Male
John Wells,Male
Julia Ducournau,Female
Wolfgang Reitherman,Male
Phil Karlson,Male
Richard LaGravenese,Male
Thomas M. Wright,Male
Dan Berk,Male
Nora Fingscheidt,Female
Steven Brill,Male
Macon Blair,Male
Mark Williams,Male
Patrick Wilson,Male
Jean-Jacques Annaud,Male
Nour Wazzi,Female
Patrick Lussier,Male
Paul Schrader,Male
Jerry Jameson,Male
Tyler Savage,Male
Jean-Marc Vallée,Male
Lee Daniels,Male
F.W. Murnau,Unknown
Rene Eller,Male
Adam Brooks,Male
Sean Baker,Male
Donald G. Jackson,Male
Steve Rash,Male
Ted Demme,Male
Christopher Cain,Male
Kenny Ortega,Male
Alan J. Pakula,Male
George Cukor,Male
Martin Koolhoven,Male
Nicolai Fuglsig,Male
Malcolm D. Lee,Male
Mahalia Belo,Female
Simon Curtis,Male
Audrey Wells,Female
Mikael Håfström,Male
Vincent Gallo,Male
Sylvain White,Male
Uberto Pasolini,Male
Mike Gabriel,Male
Michael Apted,Male
Terrence Malick,Male
Rahi Anil Barve,Male
Chris Peckover,Male
Rob Savage,Male
Betty Thomas,Female
Fred Zinnemann,Male
Mark Rosman,Male
Shane Meadows,Male
John Ford,Male
Jeffrey Walker,Male
Terry George,Male
Brian Robbins,Male
Cedric Nicolas-Troyan,Male
Katt Shea,Female
Elia Kazan,Female
Matt Angel,Male
Dario Argento,Male
Babak Najafi,Male
Walt Becker,Male
Jim Drake,Male
Jerome Robbins,Male
Tom Brady,Male
Shekhar Kapur,Male
Götz Spielmann,Male
Tim Federle,Male
George A. Romero,Male
Dave Franco,Male
David Seltzer,Male
Kyle Rankin,Female
Alex Cox,Male
Abel Ferrara,Male
Seth Gordon,Male
Alan Parker,Male
Fran Rubel Kuzui,Female
Russell Mulcahy,Male
Alex Zamm,Male
Russ Meyer,Male
John Guillermin,Male
Paul McGuigan,Male
John Cameron Mitchell,Male
Akira Kurosawa,Male
Tom McCarthy,Male
Vincenzo Natali,Male
Jason Friedberg,Male
Ethan Maniquis,Male
Craig Brewer,Male
Rob Minkoff,Male
Walter Murch,Male
Sammi Cohen,Female
Sam Wrench,Male
Simon Wells,Male
John Carney,Male
Robert Hiltzik,Male
Tony Gilroy,Male
Stephen Cognetti,Male
Niki Caro,Female
Kyle Newacheck,Female
Gabe Polsky,Male
Jack Smight,Male
Tom McGrath,Male
Stephen Hillenburg,Male
Alan Shapiro,Male
Kyle Newman,Female
Steven E. de Souza,Male
Brock Heasley,Male
Michael Patrick Jann,Male
Tarik Saleh,Male
Tony Kaye,Male
Brian G. Hutton,Male
Robert Redford,Male
Scott Walker,Male
John Glen,Male
Michael Anderson,Male
Jeff Tremaine,Male
Matthijs van Heijningen Jr.,Male
William H. Macy,Male
